bankruptcy,app_id,tot_derog,tot_tr,age_oldest_tr,tot_open_tr,tot_rev_tr,tot_rev_debt,tot_rev_line,rev_util,bureau_score,purch_price,msrp,down_pyt,purpose,loan_term,loan_amt,ltv,tot_income,used_ind,bad,weight
0,1001,6,7,46,,,,,0,747,19678,17160,947.15,LEASE,36,18730.85,109,4800,0,0,4.75
0,1002,0,21,153,6,1,97,4637,2,744,28615,27950,1500,LEASE,60,27112.96,97,5833.33,0,0,4.75
0,1003,0,29,194,4,2,4798,22791,21,667,25750.71,24477,10.7,LEASE,48,25740.01,105,2308.33,0,0,4.75
0,1005,2,20,129,8,6,5807,15763,37,648,15314,18450,1015.18,LEASE,63,14298.82,78,4083.33,1,1,1
1,1006,2,10,108,6,4,3352,4079,82,649,21197.61,22238,0,LEASE,60,22167.51,100,5783.33,0,0,4.75
0,1008,0,22,182,5,2,735,13669,5,765,14382,13500,3800,LOAN,60,12060.1,89,6666.67,1,0,4.75
0,1010,2,15,82,6,2,3335,11900,28,700,19819,19500,916,LOAN,66,20092.99,103,5484,1,0,4.75
0,1012,0,21,130,7,4,12713,26460,48,689,32000,26878,1500,LEASE,60,29491.25,113,5000,0,0,4.75
0,1014,1,21,88,6,3,3342,13559,25,716,27640,23777,0,LEASE,60,29195,123,15000,0,1,1
0,1015,0,42,290,8,5,9041,118557,8,754,34959,33601,2250,LEASE,48,33579.6,100,8333.33,0,0,4.75
0,1016,1,17,186,5,4,754,33535,2,753,34900,28073,0,LEASE,48,34730.35,124,5518.33,0,0,4.75
0,1017,2,9,63,3,1,383,383,100,640,17873.89,17100,2800,LOAN,66,15208.89,89,2800,1,0,4.75
0,1018,5,16,133,,,9998,0,0,639,9500,9500,0,LOAN,60,11151.63,117,1087,1,1,1
0,1019,0,35,100,6,3,9848,41690,24,724,34853,28150,0,LEASE,60,37818.03,134,3200,1,0,4.75
0,1020,0,9,159,2,0,0,2364,0,799,17592,18150,5000,LOAN,66,14187.48,78,10000,1,0,4.75
0,1021,0,17,423,,1,2546,22500,11,766,29800,32213,12800,LOAN,36,17298.49,54,5833.33,0,0,4.75
0,1022,,,,,,,,0,,7680.84,9675,2700,LOAN,42,6194.49,64,1100,1,0,4.75
0,1023,0,24,377,5,3,915,51400,2,791,35900,38119,11500,LOAN,60,20095,64,8500,1,0,4.75
0,1027,0,28,99,4,2,7859,23149,34,756,14752.5,14615,0,LOAN,72,14887.5,102,3600,0,0,4.75
1,1028,6,15,147,4,3,1687,4618,37,724,31224.27,27895,0,LEASE,39,31074.11,112,3333.33,0,0,4.75
0,1031,0,25,179,6,4,5039,13400,38,664,26845,29500,0,LEASE,48,26806.64,91,5942,0,0,4.75
