bankruptcy,app_id,tot_derog,tot_tr,age_oldest_tr,tot_open_tr,tot_rev_tr,tot_rev_debt,tot_rev_line,rev_util,bureau_score,purch_price,msrp,down_pyt,purpose,loan_term,loan_amt,ltv,tot_income,used_ind
0,1004,1,56,357,13,10,16512,75670,22,743,27600,25850,11000,LOAN,,,64,11041.67,1
0,1007,,,,,,,,0,647,11694,10775,1500,LOAN,,,95,2925,1
0,1009,1,18,138,4,1,3748,8536,44,741,22848,22000,1150,LOAN,,,99,3916.67,1
1,1011,4,17,148,,3,5504,5435,100,689,21250,22770,1957,LOAN,,,85,2489.99,0
0,1013,0,13,56,3,2,6130,15506,40,690,19143,18500,2000,LOAN,,,93,2583.33,1
0,1024,0,16,114,5,4,2549,18906,13,650,31400,28893,2507,LOAN,,,100,2833.33,0
1,1025,2,29,243,8,5,13979,24937,56,690,21272.75,20000,1428,LOAN,,,99,3000,0
0,1026,1,19,138,5,4,926,5052,18,654,9450,9500,0,LOAN,,,99,5000,1
0,1029,0,3,28,,2,181,1500,12,728,12875,13850,500,LOAN,,,89,2000,1
0,1030,0,35,244,6,3,7821,21942,36,652,4350.72,4500,500,LOAN,,,86,5800,0
0,1037,0,12,268,3,2,493,22174,2,841,13400,15000,0,LOAN,,,89,5833.33,1
0,1040,0,28,146,,2,4440,31960,14,757,23467.45,23292,0,LEASE,,,101,3166.67,0
1,1049,,,,,,,,0,653,14371,12800,1671,LOAN,,,99,6680,1
0,1053,0,6,113,5,3,1144,5000,23,672,15088.21,15000,0,LOAN,,,101,5600,1
0,1059,4,13,56,,,9998,0,0,649,12940,12900,100,LOAN,,,100,4333.33,1
1,1064,11,11,60,,,,,0,,14300,14454,0,LOAN,,,99,3820,0
0,1073,1,6,34,,0,0,651,0,643,12635,11300,1390,LOAN,,,100,22894,1
0,1074,15,23,137,,,,,0,755,16803,14000,1000,LOAN,,,113,3250,1
0,1076,0,34,244,14,10,11904,60500,20,733,14000,12975,0,LOAN,,,108,3500,1
0,1078,,,,,,,,0,,15900,14500,1700,LOAN,,,98,5000,1
0,1081,0,12,154,6,4,10766,6350,100,642,31900,23880,8020,LEASE,,,100,3300,0
0,1082,0,9,23,6,4,3548,5621,63,599,6500,8575,500,LOAN,,,70,1442.13,1
0,1083,0,26,184,9,7,25614,18946,100,622,25500,23946,4000,LOAN,,,90,4750,0
0,1086,1,25,176,6,3,8267,44583,19,734,4096.32,4500,1500,LOAN,,,58,5000,0
